b'Aruba'|ABW|533
b'Afghanistan'|AFG|4
b'Angola'|AGO|24
b'Anguilla'|AIA|660
b'land Islands'|ALA|248
b'Albania'|ALB|8
b'Andorra'|AND|20
b'United Arab Emirates'|ARE|784
b'Argentina'|ARG|32
b'Armenia'|ARM|51
b'American Samoa'|ASM|16
b'Antarctica'|ATA|10
b'French Southern Territories'|ATF|260
b'Antigua and Barbuda'|ATG|28
b'Australia'|AUS|36
b'Austria'|AUT|40
b'Azerbaijan'|AZE|31
b'Burundi'|BDI|108
b'Belgium'|BEL|56
b'Benin'|BEN|204
b'Bonaire, Sint Eustatius and Saba'|BES|535
b'Burkina Faso'|BFA|854
b'Bangladesh'|BGD|50
b'Bulgaria'|BGR|100
b'Bahrain'|BHR|48
b'Bahamas'|BHS|44
b'Bosnia and Herzegovina'|BIH|70
b'Saint Barthlemy'|BLM|652
b'Belarus'|BLR|112
b'Belize'|BLZ|84
b'Bermuda'|BMU|60
b'Bolivia, Plurinational State of'|BOL|68
b'Brazil'|BRA|76
b'Barbados'|BRB|52
b'Brunei Darussalam'|BRN|96
b'Bhutan'|BTN|64
b'Bouvet Island'|BVT|74
b'Botswana'|BWA|72
b'Central African Republic'|CAF|140
b'Canada'|CAN|124
b'Cocos (Keeling) Islands'|CCK|166
b'Switzerland'|CHE|756
b'Chile'|CHL|152
b'China'|CHN|156
b"Cte d'Ivoire"|CIV|384
b'Cameroon'|CMR|120
b'Congo, The Democratic Republic of the'|COD|180
b'Congo'|COG|178
b'Cook Islands'|COK|184
b'Colombia'|COL|170
b'Comoros'|COM|174
b'Cabo Verde'|CPV|132
b'Costa Rica'|CRI|188
b'Cuba'|CUB|192
b'Curaao'|CUW|531
b'Christmas Island'|CXR|162
b'Cayman Islands'|CYM|136
b'Cyprus'|CYP|196
b'Czechia'|CZE|203
b'Germany'|DEU|276
b'Djibouti'|DJI|262
b'Dominica'|DMA|212
b'Denmark'|DNK|208
b'Dominican Republic'|DOM|214
b'Algeria'|DZA|12
b'Ecuador'|ECU|218
b'Egypt'|EGY|818
b'Eritrea'|ERI|232
b'Western Sahara'|ESH|732
b'Spain'|ESP|724
b'Estonia'|EST|233
b'Ethiopia'|ETH|231
b'Finland'|FIN|246
b'Fiji'|FJI|242
b'Falkland Islands (Malvinas)'|FLK|238
b'France'|FRA|250
b'Faroe Islands'|FRO|234
