0 1 2
2 3 4
2 4 1271
2 5 45
2 6 13
2 7 3
2 8 15
2 9 1
10 2 15
10 11 156
10 12 1
10 3 167
10 4 363
10 13 2
10 14 108
10 5 148
10 6 1
10 15 1
10 16 71
10 17 1
10 9 25
10 18 53
10 19 30
20 19 9
21 0 1706
21 1 72
22 3 3
11 19 38
23 0 179
23 21 3
23 18 1
23 1 2
24 11 6
24 25 27446
24 26 283
24 27 2
24 16 27
28 25 1
29 30 6
29 31 1
32 3 32
32 18 1
32 19 2
33 34 7
33 35 34
33 36 14
37 38 2
37 18 36
12 7 2
39 40 1
39 8 5
39 18 2
41 42 37
41 43 2
41 19 6
44 45 2
44 18 1
46 47 1
46 48 2
46 16 1
46 8 1
49 50 2
51 46 2
3 2 59
3 10 676
3 12 2
3 39 2
3 4 1063
3 52 22
3 53 8
3 40 9
3 13 1279
3 26 3
3 54 1
3 14 51
3 5 45
3 55 2
3 6 5
3 15 1
3 56 1
3 16 16
3 57 4
3 36 15
3 58 2
3 17 552
3 8 15
3 9 176
3 18 578
3 19 11
4 2 91
4 10 1
4 39 17
4 3 91
4 52 32
4 13 219
4 5 34
4 6 16
4 15 27
4 17 1
4 8 2
59 10 7
59 11 8
59 39 1
59 3 3
59 4 62
59 13 2
59 5 15
59 55 1
59 17 2
59 9 2
59 60 78
59 18 610
59 19 60
52 61 121
52 62 14
52 37 2
52 4 15
52 63 10
52 56 7
52 35 1
64 29 1
64 65 32
64 30 284
64 31 3
64 19 42
66 11 21
66 19 2
30 19 993
53 2 2
53 33 4
53 12 1
53 46 13
53 54 3
53 67 21
53 36 1
53 68 1
69 26 2
69 45 6
70 26 832
70 27 3
71 72 25
71 73 579
71 74 1
71 75 813
71 76 6
71 77 56
71 78 1
71 56 13
71 16 1
71 8 9
71 79 5189
71 80 11
71 81 4695
38 2 72
38 3 2
38 4 25
38 13 8
38 5 68
38 16 1
38 9 1
38 18 2
13 61 1
13 82 103
13 2 127
13 10 174
13 34 35
13 11 1
13 33 89
13 12 14
13 39 8
13 3 1171
13 4 1947
13 52 100
13 53 2
13 26 1
13 54 5
13 67 4
13 14 2
13 5 98
13 83 3
13 6 1
13 36 72
13 17 37
13 8 46
13 9 324
13 18 124
13 19 9
84 74 1274
84 45 2602
84 85 8109
84 77 326
84 78 1801
84 86 34
84 81 1356
76 16 296
87 76 24
87 16 122
85 45 56
85 78 4
85 88 19
85 81 2
67 89 1
67 16 1
14 10 2
14 3 5
14 5 1
27 90 52
27 91 4236
92 11 1
92 19 55352
93 3 6
93 13 4
93 15 1
94 50 19
5 2 679
5 74 2
5 89 36
5 10 336
5 11 279
5 25 13
5 33 5
5 37 2
5 12 38
5 39 527
5 46 51
5 51 233
5 3 3714
5 4 12651
5 53 32
5 95 22
5 40 187
5 38 1
5 13 185
5 26 18
5 76 25
5 54 247
5 67 111
5 14 19
5 55 361
5 77 1
5 6 73
5 15 1
5 78 2
5 56 41
5 16 1261
5 88 7
5 57 4
5 91 1
5 7 17
5 36 6
5 17 43
5 8 1114
5 9 190
5 68 6
5 81 24
5 18 4280
5 19 1275
83 96 1
31 30 49
31 19 388
97 0 73
98 25 2
98 26 2
98 9 6
99 26 2010
100 89 91
100 46 3
100 4 1
100 54 12
100 16 1
16 46 1
16 54 3
7 12 6
36 12 6
50 101 1
50 102 4
17 2 619
17 89 3
17 10 1069
17 34 2
17 11 1
17 33 6
17 12 49
17 39 325
17 46 1
17 51 140
17 3 25138
17 4 9882
17 52 12
17 53 91
17 40 22
17 13 2818
17 54 11
17 67 4
17 14 2
17 103 1
17 5 6458
17 55 77
17 6 56
17 15 259
17 56 5
17 16 112
17 91 1
17 7 1
17 36 9
17 17 12
17 8 634
17 9 597
17 18 3832
104 82 9
105 83 6
106 11 95
106 19 169
79 61 12
79 2 691
79 10 58
79 34 2
79 62 2
79 33 20
79 37 25
79 107 15
79 39 60
79 3 19
79 4 1986
79 52 124
79 53 1
79 40 2
79 5 337
79 63 3
79 55 12
79 100 3
79 56 138
79 35 9
79 36 48
79 8 45
79 9 30
79 68 2
79 18 17
18 2 1
18 40 3
19 82 5
19 11 11437
19 28 7
19 85 14
19 92 41
19 9 25
19 18 5
