CountryId,Name,ISOCode,CommId
533,b'Aruba',ABW,
4,b'Afghanistan',AFG,19.0
24,b'Angola',AGO,11.0
660,b'Anguilla',AIA,
248,b'land Islands',ALA,
8,b'Albania',ALB,7.0
20,b'Andorra',AND,
784,b'United Arab Emirates',ARE,8.0
32,b'Argentina',ARG,0.0
51,b'Armenia',ARM,3.0
16,b'American Samoa',ASM,
10,b'Antarctica',ATA,
260,b'French Southern Territories',ATF,
28,b'Antigua and Barbuda',ATG,3.0
36,b'Australia',AUS,1.0
40,b'Austria',AUT,3.0
31,b'Azerbaijan',AZE,17.0
108,b'Burundi',BDI,
56,b'Belgium',BEL,3.0
204,b'Benin',BEN,11.0
535,"b'Bonaire, Sint Eustatius and Saba'",BES,
854,b'Burkina Faso',BFA,7.0
50,b'Bangladesh',BGD,3.0
100,b'Bulgaria',BGR,4.0
48,b'Bahrain',BHR,8.0
44,b'Bahamas',BHS,4.0
70,b'Bosnia and Herzegovina',BIH,3.0
652,b'Saint Barthlemy',BLM,
112,b'Belarus',BLR,4.0
84,b'Belize',BLZ,10.0
60,b'Bermuda',BMU,
68,"b'Bolivia, Plurinational State of'",BOL,0.0
76,b'Brazil',BRA,0.0
52,b'Barbados',BRB,3.0
96,b'Brunei Darussalam',BRN,2.0
64,b'Bhutan',BTN,
74,b'Bouvet Island',BVT,
72,b'Botswana',BWA,11.0
140,b'Central African Republic',CAF,
124,b'Canada',CAN,10.0
166,b'Cocos (Keeling) Islands',CCK,
756,b'Switzerland',CHE,7.0
152,b'Chile',CHL,0.0
156,b'China',CHN,2.0
384,"b""Cte d'Ivoire""",CIV,3.0
120,b'Cameroon',CMR,7.0
180,"b'Congo, The Democratic Republic of the'",COD,11.0
178,b'Congo',COG,7.0
184,b'Cook Islands',COK,15.0
170,b'Colombia',COL,6.0
174,b'Comoros',COM,1.0
132,b'Cabo Verde',CPV,3.0
188,b'Costa Rica',CRI,10.0
192,b'Cuba',CUB,10.0
531,b'Curaao',CUW,
162,b'Christmas Island',CXR,
136,b'Cayman Islands',CYM,
196,b'Cyprus',CYP,3.0
203,b'Czechia',CZE,3.0
276,b'Germany',DEU,3.0
262,b'Djibouti',DJI,14.0
212,b'Dominica',DMA,3.0
208,b'Denmark',DNK,9.0
214,b'Dominican Republic',DOM,10.0
12,b'Algeria',DZA,3.0
218,b'Ecuador',ECU,6.0
818,b'Egypt',EGY,8.0
232,b'Eritrea',ERI,7.0
732,b'Western Sahara',ESH,
724,b'Spain',ESP,7.0
233,b'Estonia',EST,12.0
231,b'Ethiopia',ETH,14.0
246,b'Finland',FIN,9.0
242,b'Fiji',FJI,15.0
238,b'Falkland Islands (Malvinas)',FLK,
250,b'France',FRA,7.0
234,b'Faroe Islands',FRO,9.0
583,"b'Micronesia, Federated States of'",FSM,
266,b'Gabon',GAB,7.0
826,b'United Kingdom',GBR,7.0
268,b'Georgia',GEO,3.0
831,b'Guernsey',GGY,
288,b'Ghana',GHA,3.0
292,b'Gibraltar',GIB,
324,b'Guinea',GIN,7.0
312,b'Guadeloupe',GLP,
270,b'Gambia',GMB,3.0
624,b'Guinea-Bissau',GNB,3.0
226,b'Equatorial Guinea',GNQ,7.0
300,b'Greece',GRC,7.0
308,b'Grenada',GRD,3.0
304,b'Greenland',GRL,
320,b'Guatemala',GTM,13.0
254,b'French Guiana',GUF,
316,b'Guam',GUM,
328,b'Guyana',GUY,3.0
344,b'Hong Kong',HKG,1.0
334,b'Heard Island and McDonald Islands',HMD,
340,b'Honduras',HND,13.0
191,b'Croatia',HRV,3.0
332,b'Haiti',HTI,3.0
348,b'Hungary',HUN,5.0
360,b'Indonesia',IDN,2.0
833,b'Isle of Man',IMN,
356,b'India',IND,19.0
86,b'British Indian Ocean Territory',IOT,
372,b'Ireland',IRL,7.0
364,"b'Iran, Islamic Republic of'",IRN,17.0
368,b'Iraq',IRQ,17.0
352,b'Iceland',ISL,9.0
376,b'Israel',ISR,7.0
380,b'Italy',ITA,7.0
388,b'Jamaica',JAM,3.0
832,b'Jersey',JEY,
400,b'Jordan',JOR,8.0
392,b'Japan',JPN,2.0
398,b'Kazakhstan',KAZ,18.0
404,b'Kenya',KEN,20.0
