community,size,membership,induced_subgraph_flows,induced_subgraph_edges,weak_connectivity,strong_connectivity,max_shortest_path
9,42,AGO|ARE|ARG|AUS|BEN|BHR|BOL|BRN|CHL|CIV|CMR|COD|COG|COM|CPV|CUB|DZA|GAB|GHA|GIN|GMB|GNQ|IDN|KOR|KWT|LBR|MAR|MDV|MUS|MYS|NGA|OMN|PER|PNG|SAU|SEN|SLE|TLS|VNM|VUT|WSM|YEM,29258734.0,77.0,1.0,0.0,6.0
8,33,ATG|BHS|BLZ|BRB|CAN|COL|CRI|DMA|ECU|FJI|GRD|GTM|GUY|HKG|HND|HTI|JAM|JPN|KNA|LCA|MAC|MEX|NIC|NZL|PAN|PHL|PYF|SLV|SUR|TTO|USA|VCT|VEN,36663626.0,75.0,1.0,0.0,7.0
10,27,BEL|BLR|CHN|DEU|DNK|ESP|FIN|FRA|GBR|IRL|IRQ|ISL|ISR|LTU|LUX|MDG|NCL|NLD|NOR|POL|PRK|PRT|STP|SWE|TUN|TUR|UKR,28478060.0,161.0,1.0,0.0,5.0
2,17,ARM|AZE|BGD|BRA|DOM|EGY|EST|GEO|IRN|JOR|LVA|MNG|PRY|PSE|RUS|TWN|URY,17877252.0,27.0,1.0,0.0,4.0
1,14,BWA|DJI|ETH|LSO|MOZ|MWI|NAM|SGP|SOM|SWZ|TGO|ZAF|ZMB|ZWE,1010086.0,33.0,1.0,0.0,3.0
13,12,ALB|BIH|LBN|LBY|MKD|MNE|QAT|ROU|SDN|SRB|SYC|SYR,2864112.0,20.0,1.0,0.0,3.0
0,8,AUT|CZE|HRV|HUN|ITA|MLT|SVK|SVN,4231474.0,34.0,1.0,0.0,2.0
11,6,AFG|KHM|LAO|LKA|PAK|THA,109480.0,7.0,1.0,0.0,5.0
4,6,BDI|KEN|RWA|SSD|TZA|UGA,267253.0,7.0,1.0,0.0,4.0
14,5,KAZ|KGZ|TJK|TKM|UZB,85924.0,7.0,1.0,0.0,2.0
6,4,BTN|IND|MMR|NPL,335488.0,3.0,1.0,0.0,1.0
3,3,BGR|CYP|GRC,707828.0,4.0,1.0,0.0,2.0
12,2,CHE|MDA,183474.0,1.0,1.0,0.0,2.0
7,2,BFA|NER,37400.0,1.0,1.0,0.0,1.0
5,2,MLI|MRT,10539.0,1.0,1.0,0.0,1.0
