community,size,membership,induced_subgraph_flows,induced_subgraph_edges,weak_connectivity,strong_connectivity,max_shortest_path
2,33,AUT|BEL|CHE|CPV|CZE|DEU|DNK|DZA|ESP|EST|FIN|FRO|GBR|GHA|HRV|HUN|IRL|ISL|ITA|LBY|LTU|LUX|LVA|MLT|NGA|NLD|NOR|POL|PRT|SVK|SVN|SWE|TUN,2091133.0,230.0,1.0,0.0,5.0
10,13,BGR|CYP|GEO|GIN|GRC|IRN|IRQ|ISR|MDA|ROU|SYC|TUR|UKR,316289.0,22.0,1.0,0.0,6.0
18,13,AUS|COK|FJI|JPN|KOR|NCL|NRU|NZL|PNG|PYF|TON|VUT|WSM,8223.0,15.0,1.0,0.0,3.0
19,11,AGO|BWA|COD|ETH|LSO|MOZ|MWI|NAM|SWZ|ZAF|ZWE,24853.0,11.0,1.0,0.0,2.0
13,10,ARE|BHR|DJI|EGY|JOR|KWT|LBN|OMN|SAU|SYR,386794.0,26.0,1.0,0.0,6.0
6,9,CHN|HKG|LAO|MAC|MMR|MNG|PRK|THA|VNM,119276.0,10.0,1.0,0.0,7.0
1,7,COL|CRI|FRA|MAR|MRT|NER|SEN,370346.0,7.0,1.0,0.0,4.0
4,7,ARG|BRA|LBR|MHL|PAN|PRY|URY,9913.0,9.0,1.0,0.0,2.0
9,7,BHS|CAN|DOM|MEX|TTO|TWN|USA,2226796.0,10.0,1.0,0.0,2.0
5,6,ARM|AZE|BLR|KAZ|KGZ|RUS,277537.0,10.0,1.0,0.0,9.0
7,6,BFA|BGD|IND|MDV|NPL|QAT,61811.0,5.0,1.0,0.0,4.0
3,5,ALB|BIH|MKD|MNE|SRB,45473.0,9.0,1.0,0.0,3.0
11,4,GTM|HND|NIC|SLV,98831.0,5.0,1.0,0.0,1.0
8,4,BRN|IDN|MYS|SGP,37338.0,6.0,1.0,0.0,2.0
0,3,AFG|PAK|UZB,237223.0,3.0,1.0,0.0,2.0
12,2,BRB|GUY,18.0,1.0,1.0,0.0,1.0
14,2,KEN|SOM,35.0,1.0,1.0,0.0,1.0
15,2,COM|MDG,23.0,1.0,1.0,0.0,1.0
16,2,CIV|MLI,658.0,1.0,1.0,0.0,1.0
17,2,CHL|PER,1944.0,1.0,1.0,0.0,1.0
20,2,RWA|TZA,188.0,1.0,1.0,0.0,1.0
